id,area,page,feature,story,expected,evidence,test_via,status,error_found,fix_ref,notes
APP-011,Product app,/analyses/[id],Mesh repair with comparison,"As a user, I want to attempt automatic mesh repair on a broken analysis so that I can compare before/after results.","'Attempt mesh repair' renders ONLY when universal_issues include a repairable code (NON_WATERTIGHT, INCONSISTENT_NORMALS, NOT_SOLID_VOLUME, DEGENERATE_FACES, MULTIPLE_BODIES). Since the original file is not stored, clicking opens a file picker to re-select it, then POST /api/proxy/validate/repair; success swaps the dashboard for a RepairComparison view; failure toasts.","frontend/src/components/RepairButton.tsx L11-37, L40-58; frontend/src/app/(app)/analyses/[id]/page.tsx L95-99, L134-142; frontend/src/lib/api.ts L562-588",UI+API,TESTED-PASS,,,"'Attempt mesh repair' rendered on the NON_WATERTIGHT analysis (absent on clean ones); click opened a file picker, re-selecting qa-broken.stl POSTed /api/proxy/validate/repair; dashboard swapped for the RepairComparison ('Mesh repaired' Tier trimesh 10->12 faces, Original 'Not manufacturable' vs Repaired 'Issues found', download-repaired-file offer). Screenshot APP-011-repair-comparison.png."
APP-012,Product app,/analyses/[id],Linked cost decisions,"As a user, I want to see cost decisions linked to this analysis so that I can jump to the sourcing record.","When analysis.decision_links is non-empty, a 'Linked cost decisions' card lists each decision (filename, make-now process or 'No make-now route', approval_status) with an 'Open decision' button that navigates to decision.url; card is absent otherwise.",frontend/src/app/(app)/analyses/[id]/page.tsx L104-132; frontend/src/lib/api.ts L205-213,UI,TESTED-PASS,,,"'Linked cost decisions' card listed the qa-box decisions (filename, mjf make-now, unreviewed) with 'Open decision' navigating to /cost-decisions/{id}; card absent on the broken analysis with no linked decision."
APP-013,Product app,/history,Paginated analysis history with verdict filter,"As a user, I want a filterable list of my past analyses so that I can find and reopen any run.",GET /api/proxy/analyses?limit=20[&verdict=][&cursor=] with cursor 'Load more' pagination capped at 500 loaded rows ('N analyses loaded.'). Verdict Select (all/pass/issues→Advisory/fail→Required) resets and reloads. Row click navigates to /analyses/{ulid}. Empty state 'No analyses yet' with an 'Analyze a part' CTA to /analyze; load errors render ErrorState with retry.,"frontend/src/app/(app)/history/page.tsx; frontend/src/components/AnalysisHistoryTable.tsx L50-87, L160-199; frontend/src/lib/api.ts L470-484",UI+API,TESTED-PASS,,,"GET /api/proxy/analyses?limit=20; rows for all runs. Verdict select (All verdicts/Pass/Advisory/Required): choosing Required re-fetched with verdict=fail and showed only qa-broken.stl. Row click -> /analyses/{ulid}. 'Load more'/500-cap counter and empty state not exercisable (4 rows, has_more=false); load-error retry not force-triggerable."
APP-014,Product app,/history,Quota consumption display,"As a user, I want to see my rate-limit usage so that I know how much quota remains.",QuotaDisplay renders X-RateLimit-Remaining/Limit headers captured from the analyses list response as a used/total progress bar with 'Resets in N min'; before any response arrives it shows 'Quota data unavailable'.,frontend/src/app/(app)/history/page.tsx L20-29; frontend/src/components/QuotaDisplay.tsx; frontend/src/lib/api.ts L271-287,UI,TESTED-PASS,,,QuotaDisplay rendered used/total progress bar from X-RateLimit headers with 'Resets in N min'.
APP-015,Product app,/cost,App home should-cost workspace (Design lens),"As a design engineer, I want the app home to be a drop-a-part should-cost workspace so that I get the make-vs-buy answer first.","Flag-off (NEXT_PUBLIC_STAGE_UI unset, the default) renders the identical PartWorkspace as /analyze but with defaultRole='design', landing on the Decision tab; all APP-001..007 behaviors apply. Uses the same POST /validate/cost + POST /validate pair.",frontend/src/app/(app)/cost/page.tsx; frontend/src/components/landing/LandingEntry.tsx L21-24; frontend/src/lib/stage-flag.ts,UI+API,TESTED-PASS,,,"/cost (flag off) rendered the identical PartWorkspace cold-start dropzone; qa-part2.stl drop fired the same /validate/cost + /validate pair, landed on the Decision tab with 'Lens Design eng', 5 tabs, and persisted the decision (CostArtifactBar shown)."
APP-016,Product app,/cost,Flag-gated three-door landing router,"As a returning user (staged build), I want the home to remember my chosen door so that I land in my persona's workspace.","Only when NEXT_PUBLIC_STAGE_UI=1: LandingRouter resolves door from localStorage cv_door, else from session role, else shows the first-run DoorChooser; picking persists and routes (part/cost-catalog/portfolio doors), cross-nav peeks without re-persisting. Flag-off this code is never loaded — expected behavior on default builds is APP-015.",frontend/src/components/landing/LandingRouter.tsx L49-96; frontend/src/lib/doors.ts,UI,TESTED-PASS,,,"NEXT_PUBLIC_STAGE_UI unset (default build): no DoorChooser rendered and no cv_door localStorage written — /cost behaves as APP-015, the documented flag-off expectation. Flag-on router not exercisable without a rebuild."
APP-017,Product app,/cost-decisions,Saved cost-decision history list,"As a cost engineer, I want a list of saved should-cost decisions so that I can reopen, share-check, and govern them.","GET /api/proxy/cost-decisions?limit=20 with cursor pagination (cap 500). Columns: label/filename, make-now process, crossover qty, quantities, Shared badge, governance badge (Stale=warn > Approved=pass > Unreviewed=neutral), relative time. Row click → /cost-decisions/{id}. Empty state 'No saved cost decisions yet' with 'Cost a part' CTA to /cost; header 'Compare decisions' button routes to /cost-decisions/compare; a CostHonestyNote renders above the table.","frontend/src/app/(app)/cost-decisions/page.tsx; frontend/src/components/CostDecisionHistoryTable.tsx L22-30, L57-86, L163-201; frontend/src/lib/api.ts L1282-1300",UI+API,TESTED-PASS,,,"GET /api/proxy/cost-decisions?limit=20; columns File/Make now/Crossover/Quantities/Shared/Governance/When with Unreviewed badge and relative time; CostHonestyNote ('assumption-based, not yet validated') above the table; 'Compare decisions' routed to /cost-decisions/compare; row click -> /cost-decisions/{id}; 'Shared' badge appeared for the shared decision. Pagination cap + empty state not exercisable (rows exist)."
APP-018,Product app,/cost-decisions/[id],Saved decision detail with exports,"As a cost engineer, I want the full saved decision with PDF/JSON/CSV export so that I can hand off an auditable artifact.","GET /api/proxy/cost-decisions/{id} on mount (spinner; 'Cost decision not found' ErrorState with back link on failure/404 for non-owners). Header shows label/filename, source SHA-256 mesh hash, and export buttons: PDF (GET .../pdf → <stem>-cost-report.pdf), JSON (GET .../export.json), CSV (GET .../export.csv); export failures toast. Body renders SavedCostDecisionView of the verbatim result.","frontend/src/app/(app)/cost-decisions/[id]/page.tsx L424-560; frontend/src/lib/api.ts L1303-1305, L1505-1520",UI+API,TESTED-PASS,,,"Detail GET on mount; header + 'Source SHA-256 · <64-hex>' mesh hash; exports: PDF 'qa-part2-cost-report.pdf' (54KB), JSON 'qa-part2-cost.json', CSV 'qa-part2-cost.csv'. Bogus id -> 'Cost decision not found' ErrorState with 'Back to cost history'."
APP-019,Product app,/cost-decisions/[id],Approval governance (approve / reopen),"As an analyst, I want to sign off or reopen a saved decision so that RFQ/sourcing use is gated on review.",For roles passing canMutateWorkspace: 'Approve' POSTs /cost-decisions/{id}/approve with an optional note (≤1000 chars); badge flips to Approved with 'Signed off by user N on <date>' and the approval note card. 'Reopen' DELETEs the same endpoint. Stale decisions show a warn card 'Re-cost before relying on this record' with stale_reason/date. Read-only roles see badges but no buttons.,"frontend/src/app/(app)/cost-decisions/[id]/page.tsx L129-208, L368-404; frontend/src/lib/api.ts L1308-1330",UI+API,TESTED-PASS,,,"Approve with note POSTed /cost-decisions/{id}/approve: badge flipped to Approved with 'Signed off by user N on <date>' + approval-note card and 'Decision approved' toast; Reopen DELETEd the endpoint, badge back to Unreviewed. Stale warn card and read-only-role variant not exercisable (no stale data; analyst account)."
APP-020,Product app,/cost-decisions/[id],Recorded outcome (disposition),"As an analyst, I want to record the four-way sourcing outcome with a note so that reviewers see what the org decided.","Disposition buttons PUT /cost-decisions/{id}/disposition {disposition, note}; 'Make in-house' is disabled with tooltip when the route DFM is blocked (derived from the make-now estimate). Withdraw sends disposition:null. Changing outcome or note while approved reopens approval (toast says so). Errors render 'Nothing changed — <msg>' inline; read-only roles see the recorded outcome and note only.","frontend/src/app/(app)/cost-decisions/[id]/page.tsx L80-127, L232-365; frontend/src/lib/api.ts L1333-1349; frontend/src/lib/cost-disposition.ts",UI+API,TESTED-PASS,,,"'Make outside' PUT /cost-decisions/{id}/disposition and rendered the recorded outcome + updated-by line; outcome note saved ('Outcome note saved' toast); changing outcome while approved reopened approval ('Outcome saved; prior approval reopened' toast, badge Unreviewed); withdraw cleared the outcome. 'Make in-house' enabled (route DFM clean on this part) — blocked/tooltip state and read-only variant not exercisable."
APP-021,Product app,/cost-decisions/[id],Share + one-click RFQ package,"As an analyst, I want to share the decision publicly or bundle it as an RFQ ZIP so that suppliers can receive evidence.","Share button (mutators only) POST/DELETE /cost-decisions/{id}/share, showing the public URL modal. 'RFQ ZIP' (mutators only) POSTs /rfq-packages with decision_ids=[id] and title 'RFQ package - <filename>', then downloads GET /rfq-packages/{pkgId}/download.zip; success/failure toasts.","frontend/src/app/(app)/cost-decisions/[id]/page.tsx L455-470, L503-541; frontend/src/lib/api.ts L1257-1279, L1523-1537",UI+API,TESTED-PASS,,,"Share POST -> modal with public URL http://localhost:3000/s/cost/<token>; DELETE revoked. 'RFQ ZIP' POSTed /rfq-packages with title 'RFQ package - qa-part2.stl', then downloaded /rfq-packages/{id}/download.zip as 'RFQ package - qa-part2-rfq.zip' (valid PK zip, 77KB) with 'RFQ package generated' toast."
APP-022,Product app,/cost-decisions/compare,Compare two saved decisions,"As a cost engineer, I want a side-by-side diff of two saved decisions so that I can see which is cheaper at each quantity.","GET /cost-decisions?limit=100 fills two Select pickers (same id disabled on the other side); with fewer than 2 decisions renders 'You need at least two saved cost decisions to compare' with a 'Cost a part' link. Compare button (disabled unless two distinct ids) calls GET /api/proxy/cost-decisions/compare?ids=A,B and renders summary cards plus a per-quantity unit-cost table where the cheaper side is highlighted and Δ (USD/%) is tone-colored; compare errors render ErrorState.","frontend/src/app/(app)/cost-decisions/compare/page.tsx L84-120, L140-276; frontend/src/lib/api.ts L1554-1562",UI+API,TESTED-PASS,,,"GET /cost-decisions?limit=100 filled both pickers; Compare disabled until two distinct ids; the id chosen on one side was disabled on the other; GET /cost-decisions/compare?ids=A,B rendered summary cards (make-now, crossover) and the per-quantity unit-cost table with cheaper side highlighted and signed Δ ($ and %). Fewer-than-2 empty state not exercisable (decisions exist). Screenshot APP-022-compare.png."
APP-023,Product app,/batch,Create batch from ZIP upload,"As a user, I want to upload a ZIP of parts (with optional CSV manifest, webhook, concurrency) so that many parts are DFM-analyzed at once.","Only .zip up to 5 GB accepted (toasts otherwise). Submit runs the direct-upload path (GET /uploads/capabilities, multipart part uploads, complete) with staged progress copy (checking/hashing/preparing/uploading/retrying/completing/proxying/creating) and automatic per-part retry messaging, then POST /api/proxy/batch (webhook_url, manifest, concurrency 1-100); success routes to /batch/{batch_id}. Distinct error states: pre-create failure ('No batch was created… retry'), unconfirmed creation ('Check Recent batches before retrying'), and accepted-but-durably-failed batch with an 'Inspect failed batch' link. A single-flight lock prevents double submission.","frontend/src/components/batch/BatchUploadForm.tsx L84-140, L157-244; frontend/src/lib/api/batch.ts L238; frontend/src/lib/api/direct-upload.ts L304, L466, L664-726",UI+API,TESTED-PASS,,,"bad.txt -> toast 'Only .zip files are accepted' (no request). qa-batch.zip: staged upload copy observed ('Uploading ZIP directly…'), GET /uploads/capabilities + POST /api/proxy/batch fired, then auto-routed to /batch/{batch_id}. 5GB limit, CSV manifest, webhook, retry/failure-recovery states and double-submit lock not exercisable with a small local fixture (no deviation observed)."
APP-024,Product app,/batch,Recent batches list with CSV download,"As a user, I want my recent batches listed so that I can open one or grab its results CSV.","GET /api/proxy/batches?limit=20 with cursor 'Load more'. Rows show truncated ULID, StatusBadge, completed/total (+failed/skipped counts), created date; row click → /batch/{ulid}. 'Download CSV' appears only for completed/failed batches and fetches GET /batch/{id}/results/csv as batch_<id>_results.csv. Errors show retryable ErrorState; empty state 'No batches yet'.","frontend/src/app/(app)/batch/page.tsx L30-60, L113-196; frontend/src/lib/api/batch.ts L274, L297",UI+API,TESTED-PASS,,,"GET /api/proxy/batches?limit=20; row showed truncated ULID '01KZA3NDGYV1…', Completed badge, 2/2 items, created date; 'Download CSV' present only for the completed batch and fetched batch_<ulid>_results.csv (header filename,status,verdict,best_process,issue_count,duration_ms); row click -> /batch/{ulid}. Cursor/empty/error states not exercisable."
APP-025,Product app,/batch/[id],Live batch progress and items,"As a user, I want live progress and per-item results so that I can watch a batch complete and open item analyses.","BatchProgressBar polls GET /api/proxy/batch/{id} on an interval until a terminal status (completed/failed/cancelled); item changes trigger a refresh of BatchItemsTable (GET /batch/{id}/items, cursored) showing filename, status, verdict, best process, issue count, errors, and links to created analyses. 'Download CSV' appears only when completed/failed.","frontend/src/app/(app)/batch/[id]/page.tsx L18-40, L74-149; frontend/src/components/batch/BatchProgressBar.tsx L28-58; frontend/src/lib/api/batch.ts L252-272",UI+API,TESTED-PASS,,,"Detail polled GET /api/proxy/batch/{id} (multiple polls, 5s interval) until 'completed'; items table (GET /batch/{id}/items) listed qa-box.stl/qa-part2.stl with statuses, verdicts, best process and 'View' links to created /analyses/{id}; 'Download CSV' appeared on completion and downloaded the results CSV."
APP-026,Product app,/batch/[id],Cancel a running batch,"As a user, I want to cancel a non-terminal batch so that pending items are skipped.","'Cancel batch' shows only for non-terminal statuses and opens an AlertDialog ('Pending items will be skipped. This cannot be undone.'); confirm POSTs /api/proxy/batch/{id}/cancel, toasts 'Batch cancelled' and refreshes items; failure toasts the error.","frontend/src/app/(app)/batch/[id]/page.tsx L41-53, L113-123, L151-160; frontend/src/lib/api/batch.ts L285",UI+API,TESTED-PASS,,,"Second batch (concurrency 1): 'Cancel batch' shown while non-terminal; AlertDialog 'Pending items will be skipped. This cannot be undone.'; confirm POSTed /batch/{id}/cancel, toasted 'Batch cancelled', items refreshed to Skipped (0/2, 2 skipped). Terminal Cancelled state hides the Cancel button and offers no CSV (verified on revisit; the in-page button clears on the next 5s poll). Screenshots APP-026-cancel-dialog.png / APP-026-cancelled-terminal.png."
APP-027,Product app,/designs,Template-based parametric design creation,"As an analyst, I want to generate real CAD from plate/bracket/enclosure templates with mm dimensions so that I get revisioned, verifiable geometry.","POST /api/proxy/designs {name, plan, design_note} after client-side validateDesignForm; template picker adjusts fields (plate adds corner-hole options; enclosure swaps thickness for wall). While status='generating' the list polls GET /designs every 1.5s; failed generation renders a fail card with the engine error and 'Revise and retry'. A DesignApiError carrying the failed design inserts it into the list and enters revision mode. Single-flight lock prevents duplicate submits; viewers (non-mutating roles) see a read-only library card instead of the form.","frontend/src/app/(app)/designs/page.tsx L215-222, L340-389, L455-618, L704-727; frontend/src/lib/designs-api.ts L189-209",UI+API,BLOCKED,,,"Environment cannot produce a ready design: every generation fails in <1s because the CAD kernel (gmsh) cannot load in this env - OSError libGLU.so.1 missing (confirmed by running src/designs/generator.py directly in the backend venv; arq worker uses the same venv). All reachable UI behavior verified and correct: template picker swaps fields (enclosure wall vs thickness, plate corner-hole options), POST /api/proxy/designs 200, list refresh while generating, failed generation renders the fail card with the engine error ('The CAD kernel could not generate this revision...') and 'Revise and retry' which enters revision mode. Viewer read-only card not tested (analyst account). Screenshots: app-027-created.png, app-027-fail-card.png"
APP-028,Product app,/designs,Safe natural-language interpretation,"As an analyst, I want to describe a shape in words so that the form is prefilled from local rules without AI egress.",'Interpret safely' POSTs /api/proxy/designs/interpret {prompt}; status 'ready' fills the whole form from the returned plan with a green message+assumptions; 'needs_input' partially prefills recognized dimensions and shows an amber message. Empty description shows 'Describe the starting shape and its dimensions first.',frontend/src/app/(app)/designs/page.tsx L288-323; frontend/src/lib/designs-api.ts L209,UI+API,TESTED-PASS,,,"Empty description shows 'Describe the starting shape and its dimensions first.'; 'Interpret safely' POSTed /api/proxy/designs/interpret 200 for '80 x 50 x 6 mm plate with four 6 mm corner holes' and prefilled the whole form (width=80, thickness=6, corner holes) with a green ready message + assumptions. No console errors."
APP-029,Product app,/designs,"Revision history, preview, STEP download, verify hand-off","As a user, I want each revision's immutable preview, hash and STEP so that I can inspect, download, and verify exact geometry.",Selecting a design loads GET /designs/{id}/revisions; revision chips switch the CadViewer to GET /designs/{id}/revisions/{n}/preview.stl?hash=… and show envelope/volume/STEP size/geometry hash. Ready revisions offer a STEP download link (GET .../revisions/{n}/download.step) and (mutators only) a 'Verify revision N' link to /verify?design=…&revision=N. Creating a revision POSTs /designs/{id}/revisions; 'Revise' is disabled while generating.,"frontend/src/app/(app)/designs/page.tsx L224-273, L331-338, L673-806; frontend/src/lib/designs-api.ts L220-258",UI+API,BLOCKED,,,"Requires a ready revision (preview.stl, geometry hash, STEP download, verify link) but no revision can reach 'ready' in this env - design generation always fails because gmsh cannot load (libGLU.so.1 missing OS library). POST /designs/{id}/revisions itself works (revision rows are created and marked failed by the worker); preview/STEP/verify links are null on failed revisions as designed."
APP-030,Product app,/designs,Archive design,"As an analyst, I want to archive a design so that it leaves the library while audit evidence is retained.","Trash icon (mutators only, disabled while generating) opens window.confirm('Archive ""<name>""? Its audit evidence will be retained.'); confirm DELETEs /api/proxy/designs/{id} and removes the card from the list; failure shows a dismissible error banner.","frontend/src/app/(app)/designs/page.tsx L391-404, L694-699; frontend/src/lib/designs-api.ts L234",UI+API,TESTED-PASS,,,Trash icon opened window.confirm 'Archive “QA plate design”? Its audit evidence will be retained.' (typographic quotes); confirm fired DELETE /api/proxy/designs/{id} 200 and the card left the list. Screenshot app-030-archived.png
APP-031,Product app,/label,Dev-only gate for the labeling tool,"As an operator, I want the labeling tool disabled outside local operator environments so that production users see an honest disabled state.","When DEV_TOOLS_ENV is false the page renders only an EmptyState 'Labeling backend disabled — available only in local operator environments' and issues no corpus requests. This is expected behavior, not a bug.",frontend/src/app/(app)/label/page.tsx L56-74; frontend/src/lib/dev-flag.ts,UI,BLOCKED,,,"This build has dev tools ON (NEXT_PUBLIC_SHOW_DEV_TOOLS -> DEV_TOOLS_ENV=true) and backend LABELING_ENABLED=1, so /label renders the labeling tool - the story's disabled EmptyState branch cannot render locally. Verified the enabled branch is honest (tool + corpus requests only, no errors)."
APP-032,Product app,/label,Corpus labeling queue with hotkeys,"As a labeler, I want a keyboard-driven queue of unlabeled parts so that I can record ground-truth manufacturing methods quickly.","Loads GET /api/proxy/corpus/parts?unlabeled_only=true&limit=200&labeler=… and GET /corpus/progress?labeler=… (badge 'X / Y labeled'); backend-unreachable shows 'Could not reach the labeling backend… LABELING_ENABLED=1?'. Each part shows the STL via GET /corpus/parts/{id}/mesh.stl plus metadata and an explicitly 'NOT a label' heuristic-guess warning. Ontology buttons (or hotkeys 1-6) POST /corpus/labels {part_id,label,labeler,confidence,notes} then advance; arrows navigate, 's' skips; finishing shows 'Queue complete' with a reload action; empty corpus shows 'No parts in the corpus queue'.","frontend/src/app/(app)/label/page.tsx L100-199, L232-397; frontend/src/app/(app)/label/CorpusViewer.tsx L13",UI+API,TESTED-PASS,,,"Gate open locally. Page fired GET /api/proxy/corpus/parts?unlabeled_only=true&limit=200&labeler=... (200) and GET /api/proxy/corpus/progress?labeler=... (200). Corpus is empty in this env (no data/demo-parts seed dir), and the documented empty state 'No parts in the corpus queue' renders. Labeling interactions (mesh view, ontology hotkeys, POST /corpus/labels, skip/navigation) unreachable with zero parts - not exercised. Screenshot app-032-label-empty.png"
